bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49
198500.0,217500.0,206500.0,197500.0,196500.0,195500.0,207500.0,188500.0,212500.0,215000.0,207500.0,191000.0,194000.0,195000.0,185000.0,202500.0,214500.0,211500.0,209500.0,202500.0,192000.0,205500.0,182500.0,210500.0,186000.0,195500.0,201000.0,215500.0,197500.0,204500.0,220500.0,197500.0,206500.0,183500.0,192000.0,191500.0,192000.0,207000.0,197000.0,221000.0,194500.0,190500.0,184500.0,201500.0,198000.0,202500.0,206000.0,188000.0,196000.0,191000.0
196500.0,217000.0,200500.0,202500.0,200500.0,187500.0,207000.0,193000.0,207000.0,228000.0,194000.0,204500.0,189000.0,195000.0,186500.0,196000.0,209500.0,222000.0,199500.0,204500.0,206000.0,192500.0,191500.0,201500.0,189000.0,203000.0,188000.0,208000.0,211500.0,200500.0,223500.0,198500.0,211000.0,182500.0,191000.0,193500.0,190000.0,203000.0,199000.0,224500.0,198000.0,182500.0,191500.0,191000.0,195500.0,198000.0,215500.0,197000.0,188000.0,195000.0
194000.0,207500.0,203500.0,208000.0,205500.0,184000.0,208500.0,195000.0,198000.0,221500.0,198500.0,219000.0,180500.0,190500.0,194500.0,201000.0,205000.0,213000.0,201000.0,212000.0,201000.0,195000.0,198000.0,189000.0,200000.0,198000.0,192000.0,204000.0,211500.0,206000.0,205000.0,212500.0,202000.0,197500.0,186000.0,195000.0,193000.0,193500.0,204000.0,212500.0,197000.0,197000.0,190500.0,190500.0,188500.0,199000.0,218500.0,198000.0,188000.0,197000.0
189000.0,209500.0,197000.0,214500.0,208500.0,184000.0,204500.0,195500.0,194500.0,215500.0,217000.0,207000.0,182000.0,193500.0,199500.0,193500.0,195000.0,214500.0,215500.0,207500.0,199000.0,206000.0,188500.0,193500.0,192500.0,202500.0,188000.0,205500.0,208500.0,203000.0,203500.0,220000.0,205500.0,203000.0,185500.0,190000.0,188000.0,196000.0,198000.0,216000.0,203000.0,205000.0,177000.0,188500.0,193000.0,201500.0,210000.0,203500.0,201000.0,187500.0
188000.0,200000.0,206000.0,206500.0,212000.0,187500.0,196500.0,193500.0,193500.0,216500.0,222500.0,207500.0,179500.0,197500.0,201000.0,190500.0,197500.0,206000.0,218000.0,202500.0,205000.0,200000.0,200500.0,186500.0,198000.0,199500.0,193000.0,194000.0,218500.0,194000.0,202500.0,210000.0,223000.0,202500.0,190000.0,188000.0,191000.0,190000.0,206500.0,195000.0,218000.0,200500.0,179500.0,193000.0,189500.0,206500.0,190000.0,222500.0,200000.0,190500.0
188500.0,198500.0,207000.0,193000.0,214500.0,208000.0,191000.0,188500.0,200000.0,200500.0,224000.0,208000.0,195500.0,183500.0,202000.0,197000.0,189500.0,208000.0,208000.0,213500.0,203500.0,206000.0,205500.0,181500.0,192000.0,200500.0,201500.0,194000.0,210000.0,198500.0,200500.0,205500.0,218000.0,207500.0,198000.0,184500.0,193000.0,185000.0,203500.0,194000.0,231500.0,191000.0,184000.0,193000.0,192500.0,200000.0,196000.0,219000.0,198500.0,193500.0
202000.0,197000.0,198500.0,191500.0,223000.0,200000.0,194000.0,194500.0,190000.0,202000.0,225500.0,204500.0,203500.0,182500.0,199500.0,199000.0,193500.0,194000.0,217000.0,208000.0,202500.0,215000.0,197500.0,185500.0,195500.0,193500.0,201500.0,201500.0,197000.0,205000.0,198000.0,211500.0,213000.0,212500.0,194500.0,191500.0,194000.0,186000.0,199000.0,190000.0,228000.0,201500.0,190500.0,185000.0,196500.0,189500.0,201000.0,205500.0,210000.0,188500.0
199000.0,188500.0,204000.0,198000.0,214000.0,196000.0,203000.0,192000.0,191500.0,204500.0,215500.0,208000.0,209500.0,182500.0,197000.0,194000.0,206000.0,189000.0,208000.0,213500.0,203000.0,206000.0,208500.0,190500.0,189500.0,194000.0,195000.0,204500.0,203500.0,205500.0,197500.0,203500.0,211000.0,219000.0,194000.0,191000.0,195500.0,187500.0,194000.0,197500.0,214500.0,207000.0,195500.0,181500.0,197000.0,180500.0,215000.0,200000.0,215000.0,190000.0
191500.0,203000.0,194000.0,205000.0,197500.0,205500.0,203500.0,190500.0,186500.0,209000.0,220500.0,207000.0,200500.0,194500.0,185500.0,205000.0,197500.0,195000.0,211000.0,204500.0,205500.0,198500.0,224000.0,184500.0,193500.0,194000.0,192500.0,194500.0,208500.0,204000.0,203500.0,196000.0,214500.0,215500.0,198000.0,198000.0,195000.0,192500.0,184500.0,199500.0,204000.0,213500.0,198000.0,182500.0,197000.0,181000.0,208000.0,203500.0,214500.0,194500.0
194000.0,196000.0,205000.0,202500.0,200000.0,202500.0,199500.0,203000.0,184500.0,204000.0,214000.0,208500.0,204500.0,195500.0,183000.0,208000.0,192500.0,196000.0,202500.0,204500.0,215000.0,202000.0,207500.0,206000.0,189000.0,190000.0,198500.0,188500.0,207500.0,210000.0,207000.0,185000.0,217500.0,205500.0,209500.0,196000.0,200500.0,187500.0,188000.0,202500.0,196000.0,211500.0,198500.0,193500.0,191000.0,189000.0,194000.0,208000.0,206000.0,199500.0
193500.0,179500.0,208000.0,204500.0,204500.0,199000.0,200000.0,208500.0,181000.0,209000.0,204000.0,215500.0,213000.0,180500.0,196500.0,200000.0,189500.0,207500.0,191000.0,213000.0,203000.0,212000.0,202000.0,207000.0,195000.0,185000.0,198500.0,190500.0,195000.0,214000.0,215500.0,180500.0,214500.0,203000.0,224500.0,182000.0,207500.0,189000.0,196500.0,185000.0,199500.0,215000.0,198500.0,192500.0,191500.0,188500.0,193500.0,208500.0,213000.0,201500.0
198500.0,195000.0,191500.0,201000.0,210500.0,196500.0,199000.0,199500.0,196000.0,195000.0,204000.0,223500.0,198000.0,200500.0,192000.0,192500.0,197500.0,194500.0,209000.0,199000.0,209000.0,213500.0,194000.0,206500.0,200500.0,187000.0,197000.0,190500.0,199500.0,214500.0,202000.0,194500.0,206000.0,209000.0,213500.0,195500.0,208500.0,182500.0,195000.0,193500.0,195000.0,209500.0,195500.0,193500.0,203000.0,189500.0,188000.0,210000.0,206500.0,204500.0
205000.0,185000.0,195000.0,205000.0,197500.0,214000.0,195000.0,195500.0,206000.0,188000.0,208000.0,211000.0,212000.0,199000.0,191500.0,191000.0,201000.0,187500.0,212000.0,202000.0,198000.0,214000.0,203000.0,201500.0,203500.0,188000.0,198000.0,197500.0,191500.0,202000.0,210500.0,203000.0,193500.0,214000.0,218500.0,201000.0,196000.0,194500.0,178000.0,208500.0,186500.0,210500.0,192000.0,196000.0,203000.0,196500.0,187000.0,199500.0,213500.0,200000.0
211000.0,182500.0,204000.0,195000.0,198000.0,216000.0,202000.0,192500.0,197500.0,188500.0,214000.0,208000.0,210000.0,201500.0,187000.0,194500.0,199500.0,197000.0,198000.0,201500.0,208500.0,207000.0,198000.0,212500.0,188500.0,210000.0,182500.0,188500.0,205000.0,201000.0,208500.0,205000.0,190000.0,212500.0,217500.0,214000.0,190500.0,201000.0,174000.0,200000.0,201500.0,196000.0,201000.0,201000.0,188500.0,211000.0,181500.0,193000.0,213000.0,201000.0
203500.0,186000.0,197000.0,199000.0,203500.0,205500.0,196000.0,208500.0,186000.0,198000.0,210000.0,204000.0,214000.0,209500.0,177000.0,205500.0,188500.0,205000.0,184500.0,218000.0,198500.0,204000.0,206000.0,213000.0,191000.0,209500.0,187500.0,189000.0,201500.0,195000.0,209500.0,199500.0,207500.0,205000.0,206500.0,221000.0,181000.0,206000.0,182000.0,194500.0,199500.0,192000.0,214000.0,188500.0,191500.0,208500.0,189500.0,190000.0,204500.0,215500.0
199500.0,195500.0,199500.0,192000.0,203000.0,200500.0,206500.0,201500.0,195000.0,194000.0,205000.0,207000.0,218500.0,200500.0,197500.0,190500.0,186500.0,191500.0,202500.0,218000.0,189500.0,212500.0,203000.0,206000.0,203000.0,201000.0,193500.0,190000.0,193000.0,196000.0,213000.0,200000.0,211000.0,205500.0,193000.0,216000.0,199500.0,200500.0,190000.0,186500.0,196500.0,198000.0,203000.0,197500.0,193000.0,206500.0,197000.0,181000.0,209500.0,211000.0
202000.0,193000.0,194000.0,202000.0,194500.0,207500.0,206500.0,201000.0,197500.0,187500.0,204500.0,204500.0,211500.0,210000.0,203500.0,190500.0,187000.0,192000.0,204500.0,209000.0,193000.0,214500.0,197000.0,200000.0,208500.0,198000.0,200500.0,183000.0,200500.0,195500.0,211500.0,201500.0,208500.0,199000.0,196000.0,216500.0,210000.0,199500.0,189000.0,182000.0,199500.0,196500.0,201000.0,200000.0,193500.0,194000.0,205000.0,187500.0,201000.0,215500.0
206500.0,203500.0,185000.0,207500.0,190000.0,211500.0,213000.0,195500.0,193000.0,191500.0,195500.0,204000.0,217000.0,210000.0,208000.0,192500.0,184500.0,190500.0,197500.0,210500.0,205500.0,209500.0,189000.0,208000.0,212000.0,200000.0,194500.0,188500.0,201500.0,191500.0,198500.0,215000.0,195000.0,213000.0,194000.0,211500.0,207000.0,206000.0,190000.0,190000.0,194000.0,185500.0,206500.0,200000.0,200500.0,195500.0,197500.0,194000.0,190000.0,209500.0
213500.0,205000.0,182000.0,199000.0,201000.0,205000.0,209000.0,199500.0,196500.0,189000.0,199500.0,197000.0,211500.0,217500.0,200500.0,203500.0,190000.0,189000.0,183500.0,218500.0,202500.0,201500.0,200000.0,203500.0,206500.0,204500.0,190000.0,204000.0,196500.0,190500.0,198500.0,210000.0,200500.0,200500.0,208000.0,208500.0,202500.0,207500.0,194500.0,189000.0,196500.0,181000.0,198000.0,207000.0,203000.0,193000.0,200000.0,191500.0,186000.0,215000.0
218500.0,195500.0,194000.0,204000.0,202500.0,191000.0,217000.0,211000.0,188000.0,184500.0,203000.0,198500.0,207000.0,209000.0,210500.0,197500.0,206000.0,176500.0,188000.0,209500.0,209500.0,207000.0,203000.0,192000.0,206500.0,210000.0,188500.0,198500.0,198500.0,195000.0,191000.0,210500.0,207500.0,198500.0,210500.0,205500.0,197500.0,214500.0,187000.0,188500.0,203000.0,192000.0,179000.0,215000.0,205500.0,191000.0,210000.0,174500.0,202000.0,197000.0
204000.0,201500.0,210500.0,195500.0,206000.0,184000.0,220500.0,205000.0,195500.0,183500.0,195000.0,200000.0,200000.0,220000.0,205000.0,210000.0,206000.0,181000.0,178500.0,208000.0,210000.0,201000.0,212000.0,191000.0,199000.0,213000.0,191500.0,199000.0,200000.0,197500.0,185000.0,210000.0,208000.0,207500.0,202500.0,200000.0,201000.0,201000.0,207000.0,186000.0,199000.0,202500.0,167500.0,215000.0,200500.0,196000.0,206000.0,182000.0,197500.0,202500.0
203500.0,209500.0,207000.0,194500.0,207000.0,191000.0,206000.0,209000.0,203000.0,187000.0,185000.0,203500.0,200000.0,224500.0,187000.0,211500.0,210000.0,195000.0,184500.0,189500.0,215000.0,195500.0,213500.0,195500.0,191500.0,208000.0,200500.0,197500.0,202500.0,195500.0,192500.0,203500.0,205000.0,211000.0,203500.0,202500.0,204000.0,193000.0,214500.0,177500.0,203000.0,206000.0,177500.0,197500.0,204000.0,200500.0,209000.0,184500.0,193000.0,195000.0
214500.0,204500.0,201500.0,199000.0,214000.0,191500.0,202000.0,215000.0,206000.0,187000.0,178500.0,203500.0,195000.0,226500.0,195500.0,204500.0,217000.0,193000.0,191000.0,180000.0,207500.0,204000.0,206500.0,207500.0,195000.0,197500.0,203500.0,198000.0,196000.0,204000.0,191000.0,200500.0,205000.0,217000.0,197000.0,209500.0,204000.0,183500.0,212500.0,186000.0,199000.0,205000.0,186500.0,182000.0,212000.0,200500.0,200000.0,201500.0,187500.0,181000.0
209500.0,208000.0,193000.0,211500.0,199000.0,205500.0,189000.0,219000.0,214500.0,182500.0,188000.0,194500.0,193500.0,214000.0,210500.0,200000.0,211500.0,203500.0,190000.0,185000.0,197000.0,210000.0,205500.0,201000.0,201000.0,187500.0,214000.0,193500.0,200500.0,203500.0,186500.0,198500.0,214000.0,197000.0,221500.0,206500.0,188000.0,201000.0,209500.0,187000.0,188000.0,212000.0,186500.0,187000.0,205500.0,206000.0,192000.0,212000.0,189000.0,177000.0
195000.0,222500.0,187500.0,205500.0,210000.0,203500.0,197500.0,204500.0,213000.0,199500.0,176000.0,197000.0,195000.0,214500.0,205500.0,198500.0,207000.0,217000.0,185000.0,187500.0,197000.0,205000.0,205500.0,203500.0,201500.0,197500.0,204000.0,192500.0,206000.0,199000.0,190000.0,197000.0,210000.0,199500.0,223000.0,198500.0,191500.0,203500.0,194000.0,206500.0,187000.0,205500.0,199500.0,184000.0,192000.0,208500.0,194000.0,219000.0,184500.0,179500.0
182000.0,217500.0,200000.0,199000.0,207000.0,213500.0,188000.0,209000.0,211000.0,206000.0,179000.0,195000.0,191000.0,209000.0,208500.0,198500.0,209500.0,212000.0,199500.0,189000.0,183000.0,204500.0,205500.0,207500.0,198500.0,205000.0,186000.0,206500.0,206000.0,196000.0,192000.0,185500.0,217500.0,206000.0,212500.0,203500.0,202000.0,191000.0,197500.0,210000.0,184500.0,189000.0,214500.0,191500.0,191500.0,197000.0,206000.0,204000.0,195000.0,187000.0
179500.0,210500.0,212000.0,192500.0,208000.0,212000.0,190500.0,206500.0,206000.0,206500.0,195000.0,185000.0,193500.0,201500.0,210000.0,194500.0,209500.0,221500.0,201000.0,190500.0,183000.0,202500.0,199500.0,220500.0,187000.0,203000.0,187000.0,209500.0,197000.0,208000.0,193000.0,179500.0,212000.0,219000.0,202000.0,207000.0,210000.0,182500.0,204500.0,206000.0,182000.0,197500.0,209500.0,193500.0,184000.0,206000.0,208000.0,186000.0,211500.0,183500.0
187500.0,189000.0,214000.0,199000.0,198500.0,214500.0,205500.0,186500.0,216000.0,207000.0,197000.0,184500.0,188000.0,209000.0,208000.0,191000.0,202500.0,229000.0,201000.0,197500.0,184500.0,198000.0,203500.0,203000.0,205000.0,192000.0,194500.0,206000.0,195000.0,212500.0,193000.0,183000.0,201500.0,221500.0,204000.0,209500.0,208000.0,184500.0,194000.0,210000.0,200500.0,188000.0,201500.0,197000.0,184500.0,205500.0,196500.0,193000.0,215000.0,190500.0
189500.0,182000.0,214000.0,196500.0,204000.0,201500.0,227000.0,177500.0,215000.0,201000.0,210500.0,180500.0,198000.0,196500.0,204000.0,203000.0,198500.0,226000.0,200000.0,206000.0,184000.0,191500.0,194000.0,202500.0,215000.0,191500.0,200500.0,191000.0,205000.0,209500.0,192500.0,190000.0,192500.0,217000.0,212000.0,212000.0,203500.0,187000.0,196500.0,199500.0,213500.0,178500.0,204000.0,204000.0,177500.0,204500.0,201500.0,196000.0,205500.0,197000.0
190500.0,185000.0,203500.0,198500.0,199000.0,205500.0,221000.0,186500.0,214500.0,207000.0,195000.0,194000.0,196000.0,194000.0,209000.0,198000.0,199500.0,222000.0,205500.0,198000.0,199000.0,186500.0,195000.0,211000.0,204000.0,186500.0,205000.0,188500.0,201500.0,206500.0,200000.0,195500.0,187500.0,213500.0,217500.0,204000.0,210500.0,194500.0,186500.0,198000.0,207000.0,194000.0,198000.0,196500.0,191000.0,191000.0,214000.0,183500.0,203000.0,209000.0
191500.0,190000.0,196500.0,199500.0,204500.0,203500.0,211500.0,206000.0,190500.0,219000.0,190500.0,194500.0,197000.0,202500.0,197000.0,202000.0,196000.0,219500.0,217500.0,198500.0,202500.0,184500.0,186000.0,210000.0,201500.0,197500.0,199000.0,195000.0,196000.0,205500.0,204500.0,195000.0,193000.0,199500.0,213500.0,217500.0,194500.0,209500.0,193000.0,191000.0,197500.0,209500.0,186000.0,211500.0,183500.0,189500.0,207000.0,195500.0,200500.0,203500.0
193500.0,188500.0,187500.0,218000.0,190500.0,203500.0,210000.0,219500.0,183500.0,217500.0,198000.0,192000.0,194000.0,204500.0,199500.0,197500.0,205000.0,201000.0,220500.0,203500.0,206000.0,198000.0,177500.0,207000.0,201500.0,197500.0,195500.0,201000.0,188500.0,209000.0,206500.0,188000.0,202000.0,192000.0,212500.0,214000.0,203500.0,209000.0,192000.0,182500.0,206000.0,203000.0,199000.0,194500.0,197500.0,188500.0,210000.0,197500.0,198000.0,195000.0
190500.0,187000.0,193000.0,206000.0,200000.0,203000.0,184000.0,233500.0,195500.0,205000.0,209000.0,188000.0,193500.0,203000.0,198500.0,198500.0,209000.0,204500.0,218000.0,203000.0,199500.0,203000.0,180500.0,200500.0,207500.0,197000.0,183500.0,209500.0,196500.0,200000.0,207500.0,191500.0,202000.0,192500.0,204000.0,210000.0,217500.0,202500.0,198000.0,180500.0,204500.0,206500.0,203500.0,190000.0,191500.0,191500.0,201500.0,202000.0,202500.0,200500.0
197000.0,190500.0,194000.0,201000.0,199000.0,206000.0,183500.0,222500.0,213000.0,207500.0,197500.0,192500.0,187500.0,206500.0,195000.0,204500.0,204000.0,206000.0,215000.0,200000.0,204000.0,203000.0,192500.0,196000.0,201000.0,197500.0,177000.0,214000.0,201000.0,195000.0,208500.0,191000.0,197000.0,199000.0,205000.0,201500.0,218500.0,206500.0,203500.0,174500.0,206500.0,202500.0,201500.0,189000.0,208500.0,182500.0,202000.0,206500.0,197000.0,195500.0
193000.0,184000.0,200000.0,183500.0,212500.0,204000.0,195500.0,193500.0,232000.0,201500.0,196500.0,204000.0,188000.0,201500.0,202000.0,202500.0,192000.0,218000.0,212500.0,200500.0,198500.0,204500.0,208000.0,178000.0,207000.0,200500.0,185500.0,204000.0,190500.0,199000.0,210000.0,197500.0,184500.0,207000.0,205000.0,197500.0,214000.0,222500.0,194500.0,188500.0,194500.0,203500.0,196500.0,198000.0,199500.0,188500.0,199500.0,203500.0,195000.0,208000.0
181500.0,195500.0,196500.0,194000.0,203000.0,206000.0,199000.0,187500.0,231500.0,200000.0,201000.0,203000.0,189000.0,192500.0,211000.0,193000.0,204000.0,216000.0,208000.0,207500.0,191500.0,206500.0,203500.0,186500.0,202500.0,200000.0,194500.0,194000.0,196000.0,199000.0,202000.0,207500.0,181000.0,207500.0,199000.0,199500.0,204000.0,227000.0,197000.0,196500.0,199000.0,198500.0,197500.0,198000.0,198500.0,185500.0,195000.0,213500.0,194500.0,205500.0
193500.0,191500.0,191000.0,193000.0,205000.0,208500.0,197000.0,184000.0,222000.0,212500.0,202500.0,202500.0,182000.0,193000.0,212500.0,200000.0,204500.0,213500.0,206500.0,200000.0,208000.0,200000.0,198500.0,206500.0,189500.0,192500.0,193500.0,197500.0,201500.0,189000.0,203000.0,205500.0,196500.0,205500.0,192500.0,196000.0,209000.0,213500.0,205500.0,206000.0,196000.0,195000.0,206000.0,186500.0,201500.0,192500.0,192500.0,210500.0,197000.0,198000.0
191000.0,192500.0,190500.0,201500.0,196000.0,209000.0,196500.0,197000.0,202500.0,223000.0,203000.0,192500.0,199500.0,188000.0,203500.0,211000.0,197000.0,211000.0,210000.0,204000.0,205000.0,192500.0,203000.0,206000.0,190500.0,199500.0,186000.0,202500.0,202500.0,186000.0,202000.0,203500.0,204000.0,194500.0,201000.0,190000.0,210500.0,211500.0,206500.0,210500.0,194000.0,194000.0,207500.0,187500.0,196000.0,198000.0,187000.0,210500.0,202500.0,196500.0
199500.0,179500.0,198000.0,207500.0,184000.0,210500.0,202000.0,188500.0,198500.0,222500.0,209500.0,201000.0,192500.0,191500.0,199000.0,215000.0,193000.0,208500.0,217500.0,212500.0,188500.0,201500.0,199500.0,206500.0,195000.0,207500.0,173500.0,207500.0,200000.0,187000.0,207500.0,191000.0,211000.0,187000.0,205000.0,199000.0,199500.0,210500.0,207000.0,208500.0,199000.0,197000.0,194000.0,200000.0,191000.0,205000.0,179000.0,207000.0,207000.0,198000.0
194500.0,182500.0,193500.0,194000.0,196000.0,211000.0,210500.0,190000.0,191000.0,213000.0,207000.0,212000.0,192000.0,191000.0,200500.0,202500.0,196500.0,213500.0,216500.0,216000.0,191500.0,198000.0,204000.0,195000.0,204500.0,207000.0,176500.0,195000.0,204000.0,188500.0,200000.0,204000.0,211500.0,188500.0,202500.0,194500.0,201500.0,205500.0,206500.0,215000.0,204000.0,193500.0,191500.0,210500.0,184500.0,195500.0,190500.0,202000.0,203000.0,208000.0
201500.0,177000.0,185000.0,194000.0,209500.0,201000.0,200500.0,196500.0,202500.0,197000.0,221000.0,204000.0,201500.0,189500.0,201000.0,195000.0,195000.0,217000.0,216500.0,209000.0,203000.0,193000.0,201000.0,201500.0,197000.0,212500.0,183500.0,186500.0,205000.0,189000.0,199500.0,205500.0,204000.0,196000.0,197500.0,201500.0,188000.0,219500.0,195000.0,232000.0,189500.0,194500.0,202000.0,206000.0,180000.0,195500.0,202000.0,186000.0,210500.0,209500.0
191000.0,195000.0,175000.0,206000.0,190000.0,208000.0,187500.0,215000.0,193000.0,195500.0,218000.0,207000.0,205000.0,195000.0,193000.0,202500.0,197500.0,204000.0,213000.0,223000.0,202000.0,192000.0,198500.0,201500.0,198500.0,215500.0,187000.0,187000.0,190000.0,207000.0,186500.0,205500.0,200500.0,206000.0,195500.0,202500.0,183500.0,216000.0,204000.0,220000.0,196000.0,199500.0,195500.0,199000.0,193000.0,196500.0,201500.0,185000.0,209000.0,212000.0
195000.0,199500.0,167500.0,201000.0,191000.0,210500.0,192000.0,217500.0,189000.0,201000.0,199500.0,220000.0,200000.0,196000.0,183000.0,213000.0,190500.0,208000.0,211000.0,226500.0,205500.0,195500.0,190500.0,196000.0,210000.0,210500.0,193000.0,186000.0,194000.0,198000.0,187000.0,209500.0,199500.0,206500.0,199500.0,198500.0,192000.0,202500.0,205500.0,211000.0,218000.0,183500.0,202500.0,201500.0,196500.0,184500.0,189000.0,203500.0,198500.0,220500.0
200000.0,192000.0,175000.0,200500.0,183500.0,211000.0,202500.0,208500.0,196000.0,198500.0,188000.0,226000.0,207000.0,200500.0,190000.0,203000.0,190000.0,202000.0,213000.0,220000.0,214000.0,194000.0,194000.0,194500.0,210500.0,202000.0,204000.0,188500.0,193500.0,181500.0,188500.0,216000.0,204500.0,207500.0,197500.0,191000.0,204500.0,193000.0,209000.0,202500.0,221500.0,188000.0,207500.0,197000.0,199000.0,181500.0,198500.0,196000.0,201000.0,212500.0
200000.0,187500.0,195000.0,176000.0,196500.0,202000.0,206500.0,200500.0,208500.0,193500.0,190000.0,219500.0,207000.0,201500.0,190500.0,197000.0,194500.0,207500.0,208500.0,217000.0,216500.0,202000.0,189000.0,190500.0,208000.0,201500.0,204500.0,196500.0,184500.0,193000.0,190500.0,207500.0,202000.0,203500.0,211500.0,193000.0,196500.0,187500.0,214500.0,189500.0,234500.0,202500.0,190000.0,201000.0,204000.0,179000.0,196500.0,193000.0,193500.0,225000.0
212000.0,190000.0,196500.0,169500.0,199500.0,201000.0,203500.0,201000.0,204000.0,206000.0,189000.0,202500.0,218500.0,203500.0,191500.0,193500.0,198000.0,198500.0,208000.0,211000.0,221000.0,210500.0,193500.0,191000.0,197500.0,214000.0,194500.0,212000.0,183000.0,186500.0,190500.0,198500.0,207500.0,198500.0,210500.0,203500.0,198000.0,191500.0,201500.0,197000.0,222000.0,206500.0,194000.0,206000.0,196000.0,185500.0,191500.0,186500.0,207000.0,207500.0
216500.0,197500.0,189000.0,174000.0,197500.0,191000.0,207500.0,213500.0,191000.0,207000.0,199500.0,194500.0,211500.0,211500.0,195000.0,189500.0,202000.0,191000.0,209500.0,215500.0,207000.0,230500.0,190000.0,189000.0,193500.0,214500.0,194000.0,200500.0,200000.0,187500.0,191000.0,198000.0,203500.0,194500.0,209500.0,213500.0,194500.0,188500.0,204500.0,201000.0,207500.0,214500.0,193500.0,205500.0,202500.0,184500.0,188500.0,191000.0,194000.0,209500.0
216500.0,204000.0,190000.0,184000.0,184500.0,193500.0,201500.0,218000.0,186000.0,211500.0,204000.0,190500.0,209000.0,209000.0,207500.0,182000.0,205000.0,190500.0,207500.0,210000.0,214500.0,221500.0,203000.0,181500.0,189000.0,212000.0,204500.0,198500.0,210500.0,180500.0,185500.0,204000.0,195000.0,203500.0,205000.0,213500.0,199500.0,189500.0,196000.0,202500.0,201000.0,218000.0,201500.0,201000.0,199000.0,197000.0,187500.0,184500.0,187500.0,209000.0
207500.0,214000.0,201000.0,172000.0,190500.0,187000.0,206000.0,212000.0,195500.0,199500.0,206500.0,199000.0,198000.0,211000.0,219000.0,177500.0,196000.0,187000.0,213500.0,213500.0,215500.0,204000.0,213000.0,188500.0,194500.0,202500.0,199500.0,205000.0,202000.0,193500.0,189000.0,194500.0,201500.0,198500.0,200000.0,215000.0,207500.0,190000.0,194000.0,202500.0,198000.0,205000.0,218500.0,193000.0,209500.0,190500.0,192500.0,188500.0,184500.0,203500.0
211000.0,212000.0,198500.0,181000.0,179000.0,191000.0,202000.0,211000.0,205500.0,190000.0,208500.0,200000.0,202500.0,208500.0,211500.0,184500.0,200000.0,188500.0,207000.0,213000.0,200000.0,222000.0,212000.0,195000.0,197000.0,191000.0,206000.0,202500.0,198000.0,203000.0,183000.0,187500.0,207500.0,196500.0,202000.0,209000.0,213000.0,190500.0,202000.0,194500.0,198000.0,209000.0,205500.0,204500.0,207000.0,196500.0,178500.0,195500.0,191000.0,197500.0
204000.0,212500.0,208000.0,181000.0,181500.0,187000.0,195000.0,208000.0,212000.0,189500.0,213000.0,193500.0,204500.0,215000.0,204500.0,197000.0,187500.0,188500.0,203500.0,208000.0,212000.0,217500.0,213500.0,194000.0,194500.0,195500.0,197500.0,205500.0,205000.0,199500.0,186500.0,186000.0,213500.0,196000.0,193500.0,212500.0,203500.0,200500.0,205500.0,193000.0,198500.0,209500.0,192000.0,217500.0,204500.0,192500.0,187000.0,194000.0,185500.0,200500.0
204500.0,210500.0,201000.0,198000.0,186000.0,183000.0,187500.0,204000.0,217000.0,205000.0,198500.0,193500.0,202000.0,216500.0,191000.0,207500.0,192000.0,194000.0,186000.0,220000.0,211500.0,206500.0,220500.0,202000.0,184000.0,197000.0,204000.0,201000.0,210500.0,202000.0,195500.0,177500.0,203500.0,201500.0,194500.0,204500.0,205000.0,212000.0,198000.0,195500.0,202500.0,203500.0,192500.0,201000.0,210000.0,209000.0,191500.0,181500.0,191000.0,193500.0
203500.0,218000.0,194000.0,209500.0,173500.0,191000.0,194500.0,201500.0,203500.0,202500.0,203500.0,201500.0,201500.0,206500.0,199500.0,211500.0,176500.0,198500.0,187500.0,209500.0,220000.0,201500.0,225000.0,206500.0,189000.0,193000.0,199500.0,208000.0,196000.0,215500.0,199000.0,174000.0,199500.0,213500.0,183000.0,193500.0,215500.0,210500.0,199500.0,191500.0,207000.0,203500.0,200500.0,193000.0,208000.0,206500.0,191000.0,192000.0,184000.0,193500.0
187500.0,214500.0,205000.0,208000.0,173000.0,196500.0,193500.0,196500.0,200000.0,210000.0,204000.0,195000.0,207000.0,207500.0,198500.0,202000.0,194000.0,193500.0,186500.0,204000.0,220000.0,194500.0,232500.0,203500.0,186000.0,203000.0,201000.0,201500.0,196500.0,212000.0,201000.0,186500.0,186000.0,214000.0,182500.0,203500.0,215500.0,205500.0,197000.0,203500.0,187000.0,212000.0,205000.0,190500.0,207500.0,197500.0,210500.0,182500.0,184500.0,201000.0
201500.0,214000.0,197000.0,205000.0,186500.0,188000.0,200500.0,183000.0,202000.0,207000.0,213000.0,203500.0,184500.0,212500.0,213000.0,191500.0,203500.0,192000.0,185000.0,195500.0,218500.0,208500.0,217500.0,211500.0,191500.0,194000.0,204000.0,201000.0,194000.0,213000.0,202000.0,198000.0,182000.0,206000.0,194000.0,194500.0,203500.0,206500.0,203000.0,206500.0,191000.0,214000.0,196000.0,201000.0,196500.0,203500.0,198000.0,203500.0,181500.0,187000.0
